Date,T1M,T3M,T6M,T1Y,T2Y,T3Y,T4Y,T5Y,T6Y,T7Y,T10Y,T15Y,T20Y,T30Y
1997/01/06,5.49219,5.5625,5.66016,5.875,6.125,6.305,6.445,6.545,6.63,6.68,6.89,7.02,7.08,7.1
1997/01/07,5.49219,5.5625,5.66016,5.91,6.165,6.345,6.475,6.57,6.66,6.69,6.91,7.06,7.12,7.15
1997/01/08,5.48828,5.5625,5.66016,5.895,6.175,6.365,6.495,6.61,6.7,6.63,6.88,7.05,7.11,7.14
1997/01/09,5.48438,5.5625,5.66016,5.915,6.145,6.315,6.455,6.535,6.7,6.685,6.875,7.02,7.08,7.11
1997/02/07,5.4375,5.54297,5.63281,5.855,6.045,6.205,6.335,6.415,6.47,6.585,6.745,6.91,6.97,7.02
1997/02/10,5.41406,5.51172,5.61328,5.805,6.015,6.185,6.315,6.395,6.49,6.555,6.855,6.88,6.94,6.97
1997/02/12,5.41797,5.50781,5.60156,5.805,6.045,6.215,6.325,6.425,6.51,6.57,6.745,6.9,6.97,6.98
1997/02/13,5.42188,5.50391,5.60156,5.815,6.005,6.165,6.275,6.355,6.43,6.655,6.815,6.8,6.87,6.9
1997/02/14,5.42578,5.49609,5.57031,5.765,5.935,6.105,6.215,6.305,6.39,6.435,6.605,6.74,6.81,6.79
1997/02/17,5.38281,5.47266,5.55469,5.745,5.965,6.115,6.225,6.315,6.39,6.45,6.6,6.74,6.81,6.8
1997/02/18,5.375,5.47656,5.54688,5.725,5.965,6.125,6.225,6.325,6.4,6.475,6.63,6.76,6.83,6.83
1997/02/19,5.375,5.46875,5.55078,5.745,5.975,6.125,6.235,6.355,6.43,6.485,6.62,6.77,6.84,6.83
1997/02/20,5.375,5.47266,5.5625,5.795,6.025,6.175,6.295,6.415,6.5,6.565,6.72,6.83,6.91,6.93
1997/02/21,5.375,5.47266,5.5625,5.785,6.015,6.185,6.305,6.405,6.48,6.545,6.72,6.87,6.94,6.97
1997/02/24,5.375,5.47656,5.5625,5.775,6.035,6.195,6.325,6.415,6.5,6.55,6.74,6.89,6.96,6.99
1997/02/25,5.375,5.48438,5.5625,5.795,6.055,6.235,6.345,6.43,6.51,6.57,6.745,6.905,6.97,7
1997/02/26,5.375,5.5,5.59375,5.815,6.225,6.405,6.525,6.59,6.67,6.725,6.74,7.06,7.13,7.14
1997/02/27,5.4375,5.53906,5.65625,5.945,6.235,6.415,6.535,6.625,6.71,6.76,6.72,7.05,7.12,7.15
1997/02/28,5.4375,5.53906,5.6875,5.975,6.265,6.415,6.535,6.635,6.71,6.76,6.715,7.03,7.1,7.13
1997/03/03,5.4375,5.54688,5.70703,6.005,6.275,6.455,6.555,6.65,6.72,6.785,6.93,7.07,7.14,7.17
1997/03/04,5.4375,5.55469,5.71484,6.005,6.295,6.465,6.585,6.675,6.75,6.805,6.96,7.1,7.18,7.2
1997/03/05,5.4375,5.5625,5.71875,6.025,6.265,6.425,6.545,6.635,6.71,6.775,6.915,7.08,7.14,7.16
1997/03/06,5.4375,5.5625,5.71875,6.015,6.325,6.475,6.595,6.685,6.77,6.825,6.98,7.13,7.2,7.21
1997/03/07,5.4375,5.5625,5.75,6.055,6.245,6.415,6.535,6.615,6.79,6.755,6.905,7.05,7.07,7.15
1997/03/11,5.4375,5.5625,5.71875,6.015,6.295,6.465,6.575,6.655,6.74,6.795,6.94,7.085,7.16,7.19
1997/03/12,5.4375,5.5625,5.73047,6.055,6.305,6.475,6.595,6.685,6.75,6.825,6.965,7.12,7.19,7.22
1997/03/13,5.4375,5.5625,5.73438,6.075,6.375,6.555,6.685,6.795,6.86,6.93,7.065,7.22,7.29,7.28
1997/03/14,5.46875,5.59766,5.75781,6.095,6.355,6.535,6.665,6.765,6.86,6.905,7.055,7.2,7.28,7.27
1997/03/17,5.47266,5.59766,5.75391,6.105,6.385,6.575,6.695,6.785,6.88,6.925,7.075,7.23,7.3,7.29
1997/03/18,5.5,5.625,5.78125,6.145,6.395,6.585,6.705,6.785,6.88,6.935,7.075,7.22,7.28,7.29
1997/03/19,5.5,5.625,5.78906,6.15,6.405,6.605,6.725,6.815,6.91,6.955,7.095,7.25,7.31,7.31
1997/03/20,5.52734,5.64063,5.8125,6.24,6.46,6.64,6.74,6.83,6.92,6.96,7.09,7.24,7.3,7.29
1997/03/21,5.625,5.71875,5.875,6.2,6.515,6.685,6.785,6.875,6.95,6.995,7.115,7.25,7.31,7.3
1997/03/24,5.65625,5.73828,5.875,6.21,6.475,6.635,6.745,6.815,6.9,6.945,7.065,7.2,7.26,7.25
1997/03/25,5.66797,5.75,5.875,6.235,6.545,6.715,6.815,6.895,6.96,7.015,7.125,7.26,7.32,7.3
1997/03/26,5.6875,5.76172,5.92969,6.3,6.555,6.715,6.815,6.905,6.965,7.035,7.145,7.28,7.34,7.31
1997/03/27,5.6875,5.77344,5.9375,6.285,6.665,6.825,6.935,7.025,7.095,7.145,7.275,7.41,7.46,7.42
1997/04/01,5.6875,5.8125,5.96875,6.335,6.635,6.785,6.885,6.985,7.055,7.115,7.245,7.36,7.41,7.4
1997/04/02,5.6875,5.8125,5.96875,6.325,6.635,6.805,6.885,6.965,7.045,7.105,7.225,7.36,7.42,7.4
1997/04/03,5.6875,5.8125,5.97266,6.34,6.625,6.795,6.895,6.975,7.045,7.105,7.225,7.35,7.41,7.4
1997/04/04,5.6875,5.8125,5.97266,6.325,6.685,6.845,6.935,7.035,7.105,7.155,7.275,7.4,7.45,7.47
1997/04/07,5.6875,5.81641,5.98828,6.355,6.655,6.805,6.895,6.985,7.055,7.105,7.225,7.35,7.4,7.41
1997/04/08,5.6875,5.81641,5.98047,6.345,6.675,6.845,6.935,7.025,7.085,7.135,7.265,7.39,7.44,7.44
1997/04/09,5.6875,5.8125,6,6.365,6.675,6.845,6.935,7.025,7.085,7.145,7.255,7.39,7.44,7.44
1997/04/10,5.6875,5.81641,6,6.355,6.685,6.865,6.955,7.035,7.105,7.155,7.285,7.41,7.46,7.45
1997/04/11,5.6875,5.81641,6,6.355,6.735,6.915,7.025,7.095,7.165,7.225,7.345,7.47,7.52,7.51
1997/04/14,5.6875,5.84375,6.03125,6.425,6.785,6.955,7.045,7.125,7.185,7.235,7.345,7.46,7.51,7.51
1997/04/15,5.6875,5.85156,6.03516,6.445,6.705,6.875,6.955,7.035,7.085,7.135,7.24,7.36,7.41,7.43
1997/04/16,5.6875,5.84375,6.03125,6.395,6.715,6.885,6.975,7.035,7.105,7.155,7.26,7.37,7.43,7.44
1997/04/17,5.6875,5.84375,6.03125,6.375,6.66,6.835,6.925,6.995,7.055,7.115,7.215,7.35,7.4,7.41
1997/04/18,5.6875,5.83594,6,6.35,6.625,6.795,6.895,6.975,7.035,7.07,7.18,7.32,7.37,7.39
1997/04/21,5.6875,5.83203,6,6.345,6.665,6.835,6.935,7.015,7.075,7.115,7.23,7.35,7.41,7.43
1997/04/22,5.6875,5.83594,6.00391,6.345,6.645,6.815,6.915,6.985,7.045,7.09,7.195,7.32,7.38,7.38
1997/04/23,5.6875,5.82813,6,6.355,6.685,6.845,6.945,7.025,7.095,7.135,7.235,7.36,7.42,7.43
1997/04/24,5.6875,5.83984,6,6.385,6.75,6.915,7.005,7.085,7.145,7.195,7.285,7.42,7.47,7.47
1997/04/25,5.6875,5.85156,6.05469,6.43,6.775,6.925,7.025,7.085,7.155,7.205,7.295,7.43,7.48,7.48
1997/04/28,5.6875,5.85156,6.0625,6.445,6.735,6.895,6.985,7.055,7.115,7.165,7.26,7.39,7.45,7.45
1997/04/29,5.6875,5.85938,6.0625,6.51,6.555,6.725,6.805,6.885,6.955,7.005,7.115,7.25,7.3,7.31
1997/04/30,5.6875,5.81641,6,6.295,6.525,6.665,6.755,6.845,6.895,6.955,7.085,7.21,7.27,7.29
1997/05/01,5.6875,5.8125,6,6.265,6.515,6.655,6.735,6.815,6.865,6.925,7.035,7.17,7.23,7.25
1997/05/02,5.6875,5.82031,6,6.265,6.475,6.61,6.705,6.775,6.845,6.9,7.02,7.14,7.2,7.21
1997/05/06,5.6875,5.81641,6,6.265,6.525,6.675,6.755,6.815,6.875,6.925,7.035,7.16,7.22,7.22
1997/05/07,5.6875,5.81641,6,6.285,6.585,6.745,6.825,6.895,6.955,7.005,7.115,7.24,7.31,7.29
1997/05/08,5.6875,5.84375,6.03125,6.305,6.555,6.71,6.795,6.875,6.915,6.975,7.095,7.22,7.27,7.26
1997/05/09,5.6875,5.8125,6,6.21,6.475,6.625,6.715,6.785,6.845,6.905,7.025,7.16,7.21,7.23
1997/05/12,5.6875,5.8125,6,6.225,6.45,6.595,6.695,6.755,6.83,6.885,7.015,7.15,7.21,7.23
1997/05/13,5.6875,5.8125,5.98047,6.215,6.525,6.665,6.755,6.835,6.895,6.955,7.065,7.2,7.26,7.26
